,a.data.Name,coords.x1,coords.x2
750,Maon,35.116666,31.416666
751,Marah,32.933333,29.35
752,Mareal,35.241789,32.697409
753,Mareshah,34.902377,31.603933
754,Maroth~,34.694006,31.743719
755,Mashal~,35.146201,33.047808
756,Masrekah~,35.60625,30.734691
757,Massah~,33.841699,28.731061
758,Mattanah~,35.584826,31.718148
759,Me-jarkon~,34.788144,32.132898
760,Mearah,35.433333,33.633333
761,Meconah~,34.860665,31.370835
762,Medeba,35.791972,31.720457
763,Media>,48.514966,34.798311
764,Megiddo,35.182291,32.584183
765,Memphis,31.253958,29.849632
766,Mephaath,35.933333,31.85
767,Merathaim,44.420882,32.536503
768,Meribah-kadesh~,34.494795,30.687712
769,Meribah~,33.841699,28.731061
770,Meribah~,34.494795,30.687712
771,Merom,35.60548,33.075269
772,Meroz~,35.390913,32.686956
773,Mesha?,34.859127,28.85726
774,Meshech-Tubal>,47,46
775,Meshech>,47,46
776,Mesopotamia>,44.420882,32.536503
777,Metheg-ammah,34.843882,31.693529
778,Michmas,35.279235,31.870184
779,Michmash,35.279235,31.870184
780,Michmethath,35.283333,32.183333
781,Middin,35.401591,31.743894
782,Midian>,34.90832,28.932881
783,Migdal-el,35.362942,33.232131
784,Migdal-gad,34.583333,31.666667
785,Migdol?,32.372233,30.020296
786,Migron~,35.231009,31.823781
788,Millo<,35.234935,31.777444
789,Minnith,35.85,31.75
790,Minni~,44.6,40.6
791,Mishal~,35.146201,33.047808
792,Misrephoth-maim,35.139434,33.118952
793,Mithkah~,35.407152,30.317396
795,Mizpah,35.180162,31.832739
796,Mizpah,36.005559,32.565267
797,Mizpah,35.573371,33.28177
798,Mizpeh,35.702147,31.181325
799,Mizpeh,35.180162,31.832739
800,Mizpeh~,34.846725,31.56485
801,Moab>,35.782841,31.496845
802,Moladah,35.057114,31.162327
803,Moreh,35.357376,32.61773
804,Moreh~,35.281798,32.213691
805,Moresheth-gath~,34.902377,31.603933
806,Moresheth~,34.902377,31.603933
807,Moriah,35.235251,31.777593
808,Mortar<,35.234935,31.777444
809,Moserah~,35.407152,30.317396
810,Moseroth~,35.407152,30.317396
811,Most Holy Place 2<,35.234935,31.777444
812,Most Holy Place<,35.234935,31.777444
813,Mount,35.247197,31.778095
814,Mount Baal-hermon,35.857256,33.416159
815,Mount Baalah~,34.746856,31.865518
816,Mount Carmel,35.049789,32.72935
817,Mount Ebal,35.273041,32.232938
818,Mount Ephraim,35.273041,32.232938
819,Mount Ephron~,35.042407,31.675746
820,Mount Esau>,35.60625,30.734691
821,Mount Gerizim,35.272852,32.199561
822,Mount Gilboa,35.408434,32.50984
823,Mount Gilead,35.408434,32.50984
824,Mount Halak,34.833333,30.916667
825,Mount Heres,34.976609,31.752748
826,Mount Hermon,35.857256,33.416159
827,Mount Hor,35.407152,30.317396
828,Mount Horeb,33.973333,28.539722
829,Mount Hor~,36.18808,35.710069
830,Mount Jearim,35.05113,31.781049
831,Mount Lebanon>,35.590804,33.752479
832,Mount Mizar~,35.857256,33.416159
833,Mount Moriah,35.235251,31.777593
