"name" "x" "y"
"800" "רחובות         " 34.80856 31.898279
"801" "ירושלים        " 35.22503 31.778048
"802" "ירושלים        " 35.22503 31.778048
"803" "ירושלים        " 35.22503 31.778048
"804" "יהודי כפרי ים  " 35.069167 31.761572
"805" "יהודי כפרי ים  " 35.069167 31.761572
"807" "ישוב עירוני י-ם" 35.147694 31.796781
"808" "טבריה          " 35.539117 32.792095
"810" "מודיעין        " 35.010207 31.891034
"812" "מעלה אדומים    " 35.298932 31.778916
"814" "ראש העין       " 34.944364 32.097027
"816" "אשקלון         " 34.563866 31.665514
"820" "כפר סבא        " 34.908101 32.172697
"822" "יהודי כפרי ים  " 35.069167 31.761572
"823" "נס ציונה       " 34.801026 31.928917
"824" "מושבים מרכז    " 34.927852 32.14133
"825" "ראשון לציון    " 34.804046 31.964097
"830" "ירושלים        " 35.22503 31.778048
"831" "ירושלים המזרחית" 35.240078 31.785545
"833" "ראשון לציון    " 34.804046 31.964097
"835" "ישוב עירוני מרכ" 34.858034 32.143758
"837" "ראשון לציון    " 34.804046 31.964097
"838" "רחובות         " 34.80856 31.898279
"840" "ירושלים        " 35.22503 31.778048
"841" "ישוב עירוני י-ם" 35.147694 31.796781
"842" "ישוב כפרי דרום " 34.542387 31.237925
"843" "ירושלים        " 35.22503 31.778048
"844" "ירושלים        " 35.22503 31.778048
"845" "ירושלים        " 35.22503 31.778048
"848" "ירושלים        " 35.22503 31.778048
"851" "תל אביב        " 34.780855 32.08414
"852" "הרצליה         " 34.844245 32.15898
"855" "ראשון לציון    " 34.804046 31.964097
"857" "יהוד           " 34.888095 32.031092
"859" "בת ים          " 34.741372 32.016188
"860" "בית שאן        " 35.503975 32.498225
"862" "יהודה יו\"ש     " 35.202801 32.137876
"863" "בית שמש        " 34.9865 31.749906
"871" "יהודי כפרי צפון" 35.423523 32.701689
"876" "רעננה          " 34.870963 32.180721
"877" "קיבוצים מרכז   " 34.912106 32.245361
"879" "יהודי עירוני צפ" 35.471439 32.87383
"880" "אשדוד          " 34.641074 31.801152
"881" "אשקלון         " 34.563866 31.665514
"892" "מודיעין        " 35.010207 31.891034
"895" "יהוד           " 34.888095 32.031092
"896" "אשקלון         " 34.563866 31.665514
"899" "ירושלים        " 35.22503 31.778048
"900" "ירושלים        " 35.22503 31.778048
"903" "קרית גת        " 34.766359 31.606971
"905" "יבנה           " 34.745256 31.873717
"908" "גבעת שמואל     " 34.848039 32.076953
"909" "מודיעין        " 35.010207 31.891034
"913" "שוהם           " 34.942531 31.996923
"916" "כפר סבא        " 34.908101 32.172697
"918" "ירושלים        " 35.22503 31.778048
"919" "כפר סבא        " 34.908101 32.172697
"922" "ירושלים        " 35.22503 31.778048
"924" "ראש העין       " 34.944364 32.097027
"927" "ישוב עירוני י-ם" 35.147694 31.796781
"929" "ירושלים        " 35.22503 31.778048
"930" "מושבים בדרום   " 34.659469 31.452944
"932" "פתח תקוה       " 34.885672 32.082321
"935" "מושב באזור ים  " 35.138604 31.747171
"938" "ירושלים        " 35.22503 31.778048
"939" "אשקלון         " 34.563866 31.665514
"940" "קרית גת        " 34.766359 31.606971
"943" "ישוב עירוני מרכ" 34.858034 32.143758
"944" "תל אביב        " 34.780855 32.08414
"946" "יהודי כפרי צפון" 35.423523 32.701689
"953" "ישוב כפרי - ת\"א" 34.75156 31.883905
"955" "ירושלים        " 35.22503 31.778048
"959" "הרצליה         " 34.844245 32.15898
"960" "הוד השרון      " 34.897556 32.155538
"963" "יהודי כפרי חיפה" 35.039857 32.602837
"965" "יהודי כפרי צפון" 35.423523 32.701689
"967" "הרצליה         " 34.844245 32.15898
"968" "כפר סבא        " 34.908101 32.172697
"969" "ישוב עירוני מרכ" 34.858034 32.143758
"971" "ירושלים        " 35.22503 31.778048
"972" "ירושלים        " 35.22503 31.778048
"974" "ירושלים        " 35.22503 31.778048
"975" "מודיעין        " 35.010207 31.891034
"978" "יהוד           " 34.888095 32.031092
"979" "יבנה           " 34.745256 31.873717
"982" "טייבה          " 35.005433 32.269378
"984" "חיפה           " 34.998893 32.81221
"986" "חיפה           " 34.998893 32.81221
"990" "רעננה          " 34.870963 32.180721
"991" "מושבים מרכז    " 34.927852 32.14133
"993" "ירושלים        " 35.22503 31.778048
"994" "ישוב עירוני דרו" 34.605792 31.34954
"995" "ירושלים        " 35.22503 31.778048
"997" "רחובות         " 34.80856 31.898279
"998" "יהודי כפרי ים  " 35.069167 31.761572
"999" "ישוב עירוני י-ם" 35.147694 31.796781
"1003" "שדרות          " 34.583779 31.524924
"1005" "קיבוצים בצפון  " 35.343336 32.891082
"1007" "ירושלים        " 35.22503 31.778048
"1010" "מעלה אדומים    " 35.298932 31.778916
"1013" "רמת השרון      " 34.84354 32.143673
"1014" "יהוד           " 34.888095 32.031092
"1016" "אשקלון         " 34.563866 31.665514
"1017" "רעננה          " 34.870963 32.180721
"1019" "הרצליה         " 34.844245 32.15898
"1024" "ירושלים        " 35.22503 31.778048
"1025" "תל אביב        " 34.780855 32.08414
"1026" "ראש העין       " 34.944364 32.097027
"1027" "חולון          " 34.768886 32.017187
"1029" "מושבים מרכז    " 34.927852 32.14133
"1030" "ירושלים        " 35.22503 31.778048
"1032" "ישוב עירוני י-ם" 35.147694 31.796781
"1033" "נתניה          " 34.856615 32.328572
"1034" "יהודי כפרי ים  " 35.069167 31.761572
"1039" "ישוב עירוני י-ם" 35.147694 31.796781
"1041" "רמת גן         " 34.814124 32.082264
"1042" "רמת גן         " 34.814124 32.082264
"1044" "חולון          " 34.768886 32.017187
"1047" "ישוב עירוני מרכ" 34.858034 32.143758
"1049" "כפר סבא        " 34.908101 32.172697
"1052" "גבעתיים        " 34.807827 32.068717
"1053" "קדימה-צורן     " 34.91802 32.276892
"1056" "כפר סבא        " 34.908101 32.172697
"1058" "קיבוצים בדרום  " 31.761572 31.24007
"1062" "מושבים בדרום   " 34.659469 31.452944
"1064" "רמת השרון      " 34.84354 32.143673
"1065" "כפר סבא        " 34.908101 32.172697
"1066" "תל אביב        " 34.780855 32.08414
"1067" "שוהם           " 34.942531 31.996923
"1069" "יהודי כפרי ים  " 35.069167 31.761572
"1070" "ירושלים        " 35.22503 31.778048
"1071" "ירושלים        " 35.22503 31.778048
"1072" "יהודי כפרי צפון" 35.423523 32.701689
"1073" "יהודי כפרי צפון" 35.423523 32.701689
"1074" "אשקלון         " 34.563866 31.665514
"1076" "מושבים מרכז    " 34.927852 32.14133
"1078" "רעננה          " 34.870963 32.180721
"1079" "חיפה           " 34.998893 32.81221
"1081" "חיפה           " 34.998893 32.81221
"1083" "בנימינה        " 34.953944 32.518909
"1084" "בנימינה        " 34.953944 32.518909
"1086" "קיבוצים בצפון  " 35.343336 32.891082
"1090" "רעננה          " 34.870963 32.180721
"1094" "בית שאן        " 35.503975 32.498225
"1096" "ערערה          " 35.09751 32.493125
"1098" "אשדוד          " 34.641074 31.801152
"1099" "רעננה          " 34.870963 32.180721
"1100" "רחובות         " 34.80856 31.898279
"1101" "קרית אונו      " 34.858882 32.054731
"1103" "חדרה           " 34.913625 32.435123
"1105" "קיבוצים בדרום  " 31.761572 31.24007
"1106" "מושבים מרכז    " 34.927852 32.14133
"1108" "רמת גן         " 34.814124 32.082264
"1109" "נתיבות         " 34.59495 31.425773
"1110" "עכו            " 35.071334 32.925019
"1113" "הרצליה         " 34.844245 32.15898
"1118" "אשדוד          " 34.641074 31.801152
"1122" "באר שבע        " 34.799743 31.249812
"1125" "נצרת           " 35.295624 32.700535
"1127" "אשקלון         " 34.563866 31.665514
"1131" "חיפה           " 34.998893 32.81221
"1133" "קרית מוצקין    " 35.07978 32.838472
"1134" "תל אביב        " 34.780855 32.08414
"1135" "הוד השרון      " 34.897556 32.155538
"1136" "נהריה          " 35.095572 33.008894
"1138" "יהוד           " 34.888095 32.031092
"1141" "יהוד           " 34.888095 32.031092
"1142" "פתח תקוה       " 34.885672 32.082321
"1143" "שוהם           " 34.942531 31.996923
"1145" "מודיעין        " 35.010207 31.891034
"1146" "פתח תקוה       " 34.885672 32.082321
"1148" "פתח תקוה       " 34.885672 32.082321
"1149" "אור עקיבא      " 34.917647 32.508173
"1150" "תל אביב        " 34.780855 32.08414
"1151" "יהודי כפרי חיפה" 35.039857 32.602837
"1152" "בית שאן        " 35.503975 32.498225
